rocky1	"Rocky I"
andaction "DoJo MoJo"
baricade "The Barricade"
fortsup "FortSupreme"
mactf05 "mirror"
gymctf2 "gymctf2"
ul_ctf2 "instantBlues"
marics_ctf21 "VariationBlues"
lmctf39 "LMCTFBlues"
rtctf1w "BletsNOdOORS"
nxctf3 "Else Where"
nxctf5 "Alpha Redux"
winter "Winter is coming.."
codctf6 "Super Guido Bros"
lfctf9 "Slips"
xlctf2b "xlctf2b"
marics_ctf18 "Pit"
as2m7 "Caco"
marics_ctf1 "Divides"
sherm_ctf2 "TuTS"
octoball "Octo-Rena"
octo2beta "serenity"
blckbase "Lightning Round"
f2w "f2w"
theshack "shack"
trapped "trapped"
ul_ctf1 "Rockon"
q2uctf4 "DriedEdges"
afctf2a "Crackho 2.0"
slimyctf "Slime Mixer"
lmctf34 "oldfortremake"
mactf01 "oldFort"
mactf03 "Doomed"
ow01ctf "obiwan"
mactf01 "oldFort"
mactf03 "Doomed"
mactf05 "mirror"
mactf06 "kiukku"
nxctf4b "Rampless"
marics_ctf9 "NightsPlutonian"
q2uctf1 "TooEdgy"
codctf4 "The By CoreyFeldman"
enchanted "EnchantedCastle"
geminictf "gemini temples"
judctf1 "return fire"
lmctf21 "bridge"
lmctf22 "disputed"
lmctf24 "trembling"
lmctf31 "LMCTFReunion"
b4ctfb "LushXL"
rtctf1a "Bletsw.Doors"
rtctf3 "rtctf3"
dgctf1 "CrackHo1.0"
q2ctflr3 "OasisValley"
q2ctfw4 "McKin Strong"
smap14 "Twin Castles"
smap17 "Return Fire"
smap52 "RkNRllRebel"
dr4ig02 "R.A.T.S."
b9beta "CrazyTrain"
fragtwca1 "Fragtown"
marics_ctf4 "FacingDragons"
marics_ctf6 "NarrowPass"
marics_ctf7 "BothEnds"
marics_ctf8 "ValleyShadow"
marics_ctf14 "DragonXL"
marics_ctf14_5 "DragonLite"
marics_ctf15 "AnthrValymorShadows"
marics_ctf16 "Under"
marics_ctf17 "StoneSimp"
marics_ctf19 "SuperPit"
marics_ctf20 "DefAnxty"
smap49 "Be Quick"
lmctf33 "RockyRailCTF"
beerct3 "NeonNexus"
lfctf10 "Lush"
as2m7rb "CacoRedBase"
marics_ctf5 "TooManyCrates"
smap53 "XL Night"
lmctf36 "Gunslinger"
lmctf41 "Airline"
q2ctf1 "McKinley"
q2ctf2 "Stronghold"
q2ctf3b "SmeltII"
outdoors "GreatOutdoors"
marics_ctf2 "thunder roars"
q2ctf4 "outland"
q2ctf4a "outII"
q2ctf8 "Hangar"
lfctf1 "Neuro"
lfctf4 "Clones"
lfctf5 "Samurai"
lfctf6 "Mines"
lfctf7 "Mcshimn"
lfctf8 "Dakyne"
kitchen "kitch"
pow2ctf "moshpit"
lm2rail "LM2rail"
lrail "LightRail"
sr2 "SkyRail2"
cfctf1 "FeldMan Complex"
codctf2 "Strong Resemblence"
ul_ctf4 "Dragon Keep"
gobctf1 "gobctf"
nxctf1 "Neoxotb CTF 1"
nxctf2 "Fleeting Fury"
nxctf6 "Synthisis"
nxctf7 "Tribute"
gra1 "gra1"
gra2 "gra2"
gra2b "gra2XL"
rpg "dragon"
sumactf6 "sumactf6"
dhctf2 "Anthem"
mactf04 "Quakeaholic"
delctf3b "Destiny Awaits Remix"
marics_ctf13 "AntagonismHeights"
marics_ctf10 "Arcanum"
marics_ctf11 "Rooftop"
marics_ctf12 "LlamaTomb"
smap10 "supforts"
nectf1 "nectf"
sherm_ctf7 "breaking"
flag40 "deserted campground"
marics_ctf3 "MayhemMid"
lmctf11 "enchanted kingdom"
